Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2014/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA';B02;MI00000291;20;Abitazioni civili;N;6;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'TURATI, MOSCOVA, CORSO VENEZIA';B03;MI00000292;20;Abitazioni civili;N;7;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'VENEZIA, PORTA VITTORIA, PORTA ROMANA';B04;MI00000293;20;Abitazioni civili;N;8;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'PORTA TICINESE, PORTA ROMANA';B05;MI00000294;20;Abitazioni civili;N;9;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE';B06;MI00000295;20;Abitazioni civili;N;10;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'CENTRO STORICO -DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI';B12;MI00003228;20;Abitazioni civili;N;2;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'CENTRO STORICO -UNIVERSITA STATALE, SAN LORENZO';B13;MI00003232;20;Abitazioni civili;N;3;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'CENTRO STORICO - BRERA';B15;MI00003544;20;Abitazioni civili;O;0;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'CENTRO STORICO -SANT`AMBROGIO, CADORNA, VIA DANTE';B16;MI00003545;20;Abitazioni civili;O;0;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'CENISIO, FARINI, SARPI';C01;MI00000296;20;Abitazioni civili;N;11;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'SEMPIONE, PAGANO, WASHINGTON';C02;MI00000297;20;Abitazioni civili;N;12;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'SOLARI, P.TA GENOVA, ASCANIO SFORZA';C06;MI00000301;20;Abitazioni civili;N;16;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'TABACCHI, SARFATTI, CREMA -';C08;MI00000303;20;Abitazioni civili;N;18;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'LIBIA, ,XXII MARZO, INDIPENDENZA -';C09;MI00000304;20;Abitazioni civili;N;19;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'PISANI, BUENOS AIRES, REGINA GIOVANNA';C12;MI00000307;20;Abitazioni civili;N;22;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'CITY LIFE';C13;MI00003667;20;Abitazioni civili;O;0;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'PORTA NUOVA';C14;MI00003668;20;Abitazioni civili;O;0;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'STAZIONE CENTRALE VIALE STELVIO';C15;MI00003669;20;Abitazioni civili;N;0;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'MUSOCCO, CERTOSA, EXPO, CNA MERLATA';D01;MI00000308;20;Abitazioni civili;N;23;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'BOVISA, BAUSAN, IMBONATI -';D02;MI00000309;20;Abitazioni civili;N;24;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'BOVISASCA, AFFORI, P. ROSSI , COMASINA';D04;MI00000311;20;Abitazioni civili;N;26;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'NIGUARDA, BIGNAMI, PARCO NORD';D05;MI00000312;20;Abitazioni civili;N;27;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'SARCA, BICOCCA';D06;MI00000313;20;Abitazioni civili;N;28;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'MONZA, CRESCENZAGO, GORLA, QUARTIERE ADRIANO';D07;MI00000314;20;Abitazioni civili;N;29;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'MAGGIOLINA, PARCO TROTTER, LEONCAVALLO';D09;MI00000316;20;Abitazioni civili;N;31;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'P.LAMBRO, FELTRE, UDINE -';D10;MI00000317;20;Abitazioni civili;N;32;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'PIOLA, ARGONNE, CORSICA';D12;MI00000319;20;Abitazioni civili;N;34;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'LAMBRATE, RUBATTINO, ROMBON';D13;MI00000320;20;Abitazioni civili;N;35;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'FORLANINI, MECENATE, ORTOMERCATO, SANTA GIULIA';D15;MI00000322;20;Abitazioni civili;N;37;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'TITO LIVIO, TERTULLIANO, LONGANESI';D16;MI00000323;20;Abitazioni civili;N;38;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'MAROCCHETTI, VIGENTINO, CHIESA ROSSA';D18;MI00000325;20;Abitazioni civili;N;40;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'ORTLES, SPADOLINI, BAZZI';D20;MI00000327;20;Abitazioni civili;N;42;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'BARONA, FAMAGOSTA, FAENZA';D21;MI00000328;20;Abitazioni civili;N;43;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'SEGESTA, ARETUSA, VESPRI SICILIANI';D24;MI00000331;20;Abitazioni civili;N;46;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'LORENTEGGIO, INGANNI, BISCEGLIE, SAN CARLO B.';D25;MI00000332;20;Abitazioni civili;N;47;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'IPPODROMO, CAPRILLI, MONTE STELLA -';D28;MI00000335;20;Abitazioni civili;N;50;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;E;'BAGGIO, Q. ROMANO, MUGGIANO';E01;MI00000337;20;Abitazioni civili;N;52;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;E;'GALLARATESE, LAMPUGNANO, P. TRENNO, BONOLA';E02;MI00000338;20;Abitazioni civili;N;53;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;E;'MISSAGLIA, GRATOSOGLIO';E03;MI00000339;21;Abitazioni di tipo economico;N;54;
